56343  11 33 00.26 -31 51 27.1  3.54  G          
69996  14 19 24.23 -46 03 29.1  3.55  B          
99240  20 08 41.86 -66 10 45.6  3.55  G          
27288  05 46 57.35 -14 49 19.0  3.55  A          
89937  18 21 02.34 +72 44 01.3  3.55  F          
20042  04 17 53.62 -33 47 54.0  3.55  B          
1562   00 19 25.68 -08 49 25.8  3.56  K          
55282  11 19 20.52 -14 46 44.6  3.56  K          
10602  02 16 30.50 -51 30 43.6  3.56  B          
82545  16 52 20.15 -38 01 02.9  3.56  B          
75177  15 21 48.44 -36 15 40.2  3.57  K          
37740  07 44 26.87 +24 23 53.3  3.57  G          
71053  14 31 49.86 +30 22 16.1  3.57  K          
44471  09 03 37.56 +47 09 24.0  3.57  A          
35350  07 18 05.61 +16 32 25.7  3.58  A          
100064 20 18 03.22 -12 32 41.5  3.58  G ALGEDI   
7607   01 37 59.50 +48 37 42.6  3.59  K          
57757  11 50 41.29 +01 45 55.4  3.59  F ZAVIJAVA 
27072  05 44 27.97 -22 26 51.0  3.59  F          
24674  05 17 36.40 -06 50 39.8  3.59  B          
60260  12 21 21.81 -60 24 04.9  3.59  K          
46651  09 30 42.11 -40 28 00.8  3.60  F          
6537   01 24 01.45 -08 10 57.9  3.60  K          
33018  06 52 47.34 +33 57 40.9  3.60  A          
76470  15 37 01.46 -28 08 06.3  3.60  K          
85727  17 31 05.98 -60 41 01.0  3.60  B          
42536  08 40 17.61 -52 55 19.1  3.60  B          
63613  13 02 15.78 -71 32 55.7  3.61  K          
13209  02 49 58.99 +27 15 38.8  3.61  B          
15900  03 24 48.84 +09 01 44.6  3.61  G          
49841  10 10 35.40 -12 21 13.8  3.61  K          
86929  17 45 44.00 -64 43 25.4  3.61  K          
37819  07 45 15.30 -37 58 07.0  3.62  K          
17847  03 49 09.73 +24 03 12.7  3.62  B ATLAS    
7097   01 31 28.99 +15 20 45.0  3.62  G          
113726 23 01 55.25 +42 19 33.5  3.62  B          
82729  16 54 35.11 -42 21 38.7  3.62  K          
57363  11 45 36.57 -66 43 43.8  3.63  A          
101769 20 37 32.87 +14 35 42.7  3.64  F          
88714  18 06 37.88 -50 05 29.2  3.65  B          
77233  15 46 11.21 +15 25 18.9  3.65  A          
20205  04 19 47.53 +15 37 39.7  3.65  G          
46733  09 31 31.57 +63 03 42.5  3.65  F          
110960 22 28 49.80 -00 01 12.2  3.65  F          
75695  15 27 49.85 +29 06 19.8  3.66  F NUSAKAN  
76600  15 38 39.38 -29 46 39.7  3.66  B          
68756  14 04 23.43 +64 22 32.9  3.67  A THUBAN   
103227 20 54 48.58 -58 27 14.7  3.67  K          
97365  19 47 23.27 +18 32 03.3  3.68  M          
22549  04 51 12.37 +05 36 18.4  3.68  B          
114341 23 09 26.76 -21 10 20.9  3.68  K          
42828  08 43 35.55 -33 11 11.1  3.68  B          
47854  09 45 14.83 -62 30 28.5  3.69  G          
9007   01 55 56.83 -51 36 34.5  3.69  G          
23453  05 02 28.68 +41 04 33.2  3.69  K          
2920   00 36 58.27 +53 53 49.0  3.69  B          
106985 21 40 05.34 -16 39 44.1  3.69  A NASHIRA  
57399  11 46 03.13 +47 46 45.6  3.69  K          
15474  03 19 30.97 -21 45 28.6  3.70  M          
87933  17 57 45.83 +29 14 52.5  3.70  K          
114971 23 17 09.49 +03 16 56.1  3.70  G          
28103  05 56 24.32 -14 10 04.9  3.71  F          
77622  15 50 48.89 +04 28 39.3  3.71  A          
22797  04 54 15.10 +02 26 26.4  3.71  B          
38414  07 52 13.05 -40 34 32.9  3.71  G          
98036  19 55 18.77 +06 24 28.6  3.71  G ALSHAIN  
88771  18 07 21.02 +09 33 49.2  3.71  A          
17499  03 44 52.52 +24 06 48.4  3.72  B ELECTRA  
104060 21 04 55.86 +43 55 40.3  3.72  K          
28358  05 59 31.55 +54 17 05.9  3.72  K          
16537  03 32 56.42 -09 27 29.9  3.72  K          
107089 21 41 28.47 -77 23 22.1  3.73  K          
112961 22 52 36.86 -07 34 46.8  3.73  M          
72220  14 46 14.99 +01 53 34.6  3.73  A          
87585  17 53 31.63 +56 52 20.8  3.73  K GRUMIUM  
16083  03 27 10.12 +09 43 58.0  3.73  B          
80170  16 21 55.24 +19 09 10.9  3.74  A          
8645   01 51 27.61 -10 20 05.8  3.74  K BATEN KAI
104887 21 14 47.35 +38 02 39.6  3.74  F          
87108  17 47 53.57 +02 42 26.9  3.75  A          
44511  09 04 09.32 -47 05 51.8  3.75  K          
93683  19 04 40.93 -21 44 28.9  3.76  K          
27654  05 51 19.15 -20 52 39.0  3.76  G          
95853  19 29 42.34 +51 43 46.1  3.76  A          
26069  05 33 37.52 -62 29 23.5  3.76  F          
30867  06 28 49.07 -07 01 59.0  3.76  B          
111169 22 31 17.38 +50 16 56.8  3.76  A          
101958 20 39 38.25 +15 54 43.4  3.77  B          
26549  05 38 44.77 -02 36 00.2  3.77  O          
20455  04 22 56.03 +17 32 33.3  3.77  G          
109176 22 07 00.47 +25 20 42.2  3.77  F          
17529  03 45 11.64 +42 34 42.8  3.77  F          
105881 21 26 40.03 -22 24 41.0  3.77  G          
42570  08 40 37.58 -46 38 55.5  3.77  F          
41312  08 25 44.25 -66 08 11.5  3.77  K          
13268  02 50 41.79 +55 53 43.9  3.77  K          
82363  16 49 47.11 -59 02 28.7  3.77  K          
48319  09 50 59.69 +59 02 20.8  3.78  F          
53253  10 53 29.57 -58 51 11.8  3.78  K          
71795  14 41 08.92 +13 43 42.0  3.78  A          
36046  07 25 43.68 +27 47 53.8  3.78  G          
102618 20 47 40.53 -09 29 44.5  3.78  A ALBALI   
34481  07 08 44.82 -70 29 57.1  3.78  G          
55203  11 18 11.24 +31 31 50.8  3.79  G          
14668  03 09 29.63 +44 51 28.4  3.79  K          
53229  10 53 18.64 +34 12 56.0  3.79  K          
99675  20 13 37.90 +46 44 28.8  3.80  K V695 CYG 
14879  03 12 04.28 -28 59 20.8  3.80  F          
37229  07 38 49.88 -26 48 14.0  3.80  B          
76276  15 34 48.19 +10 32 19.9  3.80  F          
94779  19 17 06.11 +53 22 05.4  3.80  K          
116584 23 37 33.71 +46 27 33.0  3.81  G          
