USA, MI, Detroit                   42 25N  83 1W -5
USA, MI, Escanaba                  45 44N  87 5W -5
USA, MI, Flint                     42 58N  83 44W -5
USA, MI, Grand Rapids              42 53N  85 31W -5
USA, MI, Holland                   42 42N  86 6W -5
USA, MI, Jackson                   42 16N  84 28W -5
USA, MI, Kalamazoo                 42 17N  85 36W -5
USA, MI, Lansing                   42 47N  84 36W -5
USA, MI, Marquette Co              46 34N  87 24W -5
USA, MI, Mt Pleasant               43 35N  84 46W -5
USA, MI, Muskegon                  43 10N  86 14W -5
USA, MI, Pontiac                   42 40N  83 25W -5
USA, MI, Port Huron                42 59N  82 25W -5
USA, MI, Saginaw                   43 32N  84 5W -5
USA, MI, Sault Ste.  Marie         46 28N  84 22W -5
USA, MI, Traverse City             44 45N  85 35W -5
USA, MI, Ypsilanti                 42 14N  83 32W -5
USA, MN, Albert Lea                43 39N  93 21W -6
USA, MN, Alexandria                45 52N  95 23W -6
USA, MN, Bemidji                   47 31N  94 56W -6
USA, MN, Brainerd                  46 24N  94 8W -6
USA, MN, Duluth                    46 50N  92 11W -6
USA, MN, Fairbault                 44 18N  93 16W -6
USA, MN, Fergus Falls              46 16N  96 4W -6
USA, MN, International Falls       48 34N  93 23W -6
USA, MN, Mankato                   44 9N  93 59W -6
USA, MN, Minneapolis/St. Paul      44 53N  93 13W -6
USA, MN, Rochester                 43 55N  92 30W -6
USA, MN, St.  Cloud                45 35N  94 11W -6
USA, MN, Virginia                  47 30N  92 33W -6
USA, MN, Willmar                   45 7N  95 5W -6
USA, MN, Winona                    44 3N  91 38W -6
USA, MS, Biloxi--Keesler AFB       30 25N  88 55W -6
USA, MS, Clarksdale                34 12N  90 34W -6
USA, MS, Columbus AFB              33 39N  88 27W -6
USA, MS, Greenville AFB            33 29N  90 59W -6
USA, MS, Greenwood                 33 30N  90 5W -6
USA, MS, Hattiesburg               31 16N  89 15W -6
USA, MS, Jackson                   32 19N  90 5W -6
USA, MS, Laurel                    31 40N  89 10W -6
USA, MS, Mccomb                    31 15N  90 28W -6
USA, MS, Meridian                  32 20N  88 45W -6
USA, MS, Natchez                   31 33N  91 23W -6
USA, MS, Tupelo                    34 16N  88 46W -6
USA, MS, Vicksburg Co              32 24N  90 47W -6
USA, MO, Cape Girardeau            37 14N  89 35W -6
USA, MO, Columbia                  38 58N  92 22W -6
USA, MO, Farmington                37 46N  90 24W -6
USA, MO, Hannibal                  39 42N  91 21W -6
USA, MO, Jefferson City            38 34N  92 11W -6
USA, MO, Joplin                    37 9N  94 30W -6
USA, MO, Kansas City               39 7N  94 35W -6
USA, MO, Kirksville                40 6N  92 33W -6
USA, MO, Mexico                    39 11N  91 54W -6
USA, MO, Moberly                   39 24N  92 26W -6
USA, MO, Poplar Bluff              36 46N  90 25W -6
USA, MO, Rolla                     37 59N  91 43W -6
USA, MO, St. Joseph                39 46N  94 55W -6
USA, MO, St. Louis                 38 45N  90 23W -6
USA, MO, St. Louis CO              38 39N  90 38W -6
USA, MO, Sikeston                  36 53N  89 36W -6
USA, MO, Sedalia--Whiteman AFB     38 43N  93 33W -6
USA, MO, Sikeston                  36 53N  89 36W -6
USA, MO, Springfield               37 14N  93 23W -6
USA, MT, Billings                  45 48N  108 32W -7
USA, MT, Bozeman                   45 47N  111 9W -7
USA, MT, Butte                     45 57N  112 30W -7
USA, MT, Cut Bank                  48 37N  112 22W -7
USA, MT, Glasgow                   48 25N  106 32W -7
USA, MT, Glendive                  47 8N  104 48W -7
USA, MT, Great Falls               47 29N  111 22W -7
USA, MT, Havre                     48 34N  109 40W -7
USA, MT, Helena                    46 36N  112 0W -7
USA, MT, Kalispell                 48 18N  114 16W -7
USA, MT, Lewiston                  47 4N  109 27W -7
USA, MT, Livingstown               45 42N  110 26W -7
USA, MT, Miles City                46 26N  105 52W -7
USA, MT, Missoula                  46 55N  114 5W -7
USA, NE, Beatrice                  40 16N  96 45W -6
